var1	var2	class
101	195	0
122	227	1
108	228	1
151	219	1
95	201	0
189	207	1
101	223	1
70	224	1
126	219	1
137	239	1
124	230	1
120	201	0
126	228	1
105	217	0
98	208	0
101	166	0
92	203	0
104	197	0
77	217	1
126	224	1
105	216	0
95	172	0
99	232	0
104	142	0
122	218	1
131	218	1
95	289	0
99	222	0
119	224	1
112	220	1
113	206	1
101	236	1
140	243	1
135	231	1
94	193	0
121	229	1
98	231	0
91	248	0
111	215	1
100	224	0
89	191	0
79	212	1
98	235	0
90	172	0
115	194	0
105	214	1
141	206	1
105	194	0
114	210	1
101	223	0
120	232	1
131	222	1
34	221	1
98	235	0
141	217	1
114	213	1
138	227	1
86	165	0
78	233	1
143	225	1
100	200	0
99	218	1
118	201	0
107	177	0
118	220	1
94	238	0
94	176	0
103	209	0
91	249	0
135	207	1
105	189	0
72	210	1
145	208	1
113	244	0
73	222	1
95	181	0
101	198	0
117	229	1
103	170	0
135	195	1
44	216	1
99	197	0
129	222	1
109	215	1
96	229	0
99	202	0
137	223	1
93	207	0
115	225	1
115	198	0
81	235	1
91	185	0
79	215	1
114	247	0
96	211	0
103	206	0
119	171	0
103	248	0
101	163	0
143	230	1
103	233	0
99	177	0
162	215	1
97	269	0
96	215	0
116	218	1
104	205	0
138	225	1
117	208	1
164	226	1
176	220	1
100	201	0
171	217	1
132	198	1
108	238	0
118	210	0
88	227	1
145	218	1
127	229	1
102	189	0
123	221	1
88	216	0
78	211	0
94	219	0
176	208	1
92	218	1
115	215	1
105	180	0
99	189	0
93	148	0
108	219	1
104	164	0
136	223	1
87	197	0
159	227	1
117	217	1
130	221	1
163	211	1
103	224	1
100	194	0
104	217	0
102	190	0
91	156	0
117	263	0
116	224	1
110	226	1
121	229	1
115	216	1
115	229	1
118	200	1
127	214	1
102	123	0
113	223	1
164	230	1
93	220	1
114	169	0
116	208	0
120	217	1
129	220	1
140	206	1
141	231	1
113	204	1
123	222	1
81	223	1
158	209	1
109	233	1
96	209	0
91	218	0
95	214	1
94	209	0
83	227	0
105	178	0
108	215	0
201	234	1
86	200	0
90	210	0
71	171	0
118	223	1
98	210	1
81	260	0
108	198	0
133	206	1
95	169	0
108	221	1
113	208	0
101	244	0
99	209	0
94	252	0
94	189	0
97	229	0
105	166	0
106	229	1
95	197	0
92	216	0
102	238	0
112	200	0
95	189	0
134	211	1
138	231	1
172	210	1
94	150	0
76	214	1
96	166	0
143	212	1
129	252	0
111	205	0
120	226	1
150	224	1
93	195	0
138	235	1
96	192	0
105	220	1
99	202	0
102	220	1
160	216	1
104	242	0
146	217	1
100	226	0
88	222	1
90	215	0
108	210	1
98	197	0
108	176	0
93	202	0
119	186	0
100	173	0
147	237	1
170	210	1
129	222	1
105	230	0
92	237	1
119	231	1
171	212	1
100	252	0
93	229	0
101	235	0
75	218	1
107	200	0
96	181	0
137	226	1
95	284	0
88	252	0
102	238	0
75	224	1
96	170	0
96	221	1
102	216	0
139	231	1
195	207	1
113	237	0
124	216	0
115	235	1
112	218	1
103	172	0
109	217	0
153	224	1
85	166	0
100	167	0
159	206	1
97	239	1
90	220	1
95	170	0
105	185	0
97	227	1
90	156	0
114	218	1
130	220	1
122	222	1
96	226	1
88	211	0
151	220	1
110	214	0
94	248	0
94	157	0
97	211	0
82	188	0
148	212	1
122	222	1
101	232	1
95	198	0
79	198	0
97	148	0
111	240	0
110	215	0
188	205	1
101	150	0
135	215	1
111	116	0
112	165	0
107	226	0
110	206	1
86	193	0
147	224	1
101	248	0
100	227	0
98	223	1
91	210	0
139	208	1
128	225	1
93	200	0
110	212	1
106	220	1
111	214	1
125	225	1
122	223	1
96	181	0
138	214	1
119	214	1
88	197	1
92	224	0
102	249	0
100	228	1
123	194	0
102	194	0
107	180	0
94	215	0
112	189	0
111	218	1
125	225	1
62	208	1
104	196	0
99	280	0
155	213	1
80	207	0
168	231	1
64	204	1
167	215	1
131	236	1
93	177	0
98	231	1
102	238	0
106	208	0
113	143	0
103	219	1
133	217	1
79	192	1
107	209	1
119	221	1
104	223	1
113	226	1
100	172	0
106	238	1
101	169	0
100	270	0
76	218	1
114	220	1
179	220	1
120	237	0
142	227	1
87	153	0
96	254	0
77	236	1
106	209	1
99	238	0
90	225	1
153	227	1
100	267	0
198	240	1
158	215	1
107	213	1
82	171	0
120	206	1
100	223	0
116	214	1
102	163	0
131	215	1
116	220	1
128	226	1
119	176	0
144	218	1
96	231	1
148	221	1
107	178	0
103	157	0
107	262	0
128	228	1
136	226	1
79	204	1
137	220	1
105	234	0
133	200	1
100	181	0
178	207	1
147	213	1
117	229	1
132	207	1
100	188	0
97	184	0
107	195	0
93	156	0
98	142	0
119	164	0
131	229	1
96	227	1
102	181	0
113	222	0
111	216	1
124	225	1
112	219	1
79	212	0
106	220	1
110	226	0
93	259	0
99	231	0
118	226	1
104	218	1
107	223	1
115	229	0
122	250	0
113	224	1
109	216	1
104	220	1
100	236	0
106	208	0
179	242	1
128	219	1
112	230	1
121	226	1
109	150	0
